filename,answer,query_text,program_text
4.jpg,2,Which pair is a different color and the same shape?,generate pair <nxt>    filter different_color <nxt>    filter same_shape <nxt>    query pair
4.jpg,3,Which pair is a different shape and a different color?,generate pair <nxt>    filter different_shape <nxt>    filter different_color <nxt>    query pair
5.jpg,0,Which pair is the same color and the same shape?,generate pair <nxt>    filter same_color <nxt>    filter same_shape <nxt>    query pair
5.jpg,3,Which pair is the same shape and a different color?,generate pair <nxt>    filter same_shape <nxt>    filter different_color <nxt>    query pair
5.jpg,1,Which pair is a different shape and a different color?,generate pair <nxt>    filter different_shape <nxt>    filter different_color <nxt>    query pair
5.jpg,2,Which pair is the same color and a different shape?,generate pair <nxt>    filter same_color <nxt>    filter different_shape <nxt>    query pair
6.jpg,0,Which pair is a different color and a different shape?,generate pair <nxt>    filter different_color <nxt>    filter different_shape <nxt>    query pair
6.jpg,1,Which pair is a different shape and the same color?,generate pair <nxt>    filter different_shape <nxt>    filter same_color <nxt>    query pair
6.jpg,2,Which pair is a different color and the same shape?,generate pair <nxt>    filter different_color <nxt>    filter same_shape <nxt>    query pair
6.jpg,3,Which pair is the same shape and the same color?,generate pair <nxt>    filter same_shape <nxt>    filter same_color <nxt>    query pair
7.jpg,0,Which pair is the same shape and the same color?,generate pair <nxt>    filter same_shape <nxt>    filter same_color <nxt>    query pair
7.jpg,1,Which pair is a different shape and a different color?,generate pair <nxt>    filter different_shape <nxt>    filter different_color <nxt>    query pair
7.jpg,2,Which pair is a different color and the same shape?,generate pair <nxt>    filter different_color <nxt>    filter same_shape <nxt>    query pair
7.jpg,3,Which pair is the same color and a different shape?,generate pair <nxt>    filter same_color <nxt>    filter different_shape <nxt>    query pair
8.jpg,0,Which pair is the same color and the same shape?,generate pair <nxt>    filter same_color <nxt>    filter same_shape <nxt>    query pair
8.jpg,3,Which pair is the same shape and a different color?,generate pair <nxt>    filter same_shape <nxt>    filter different_color <nxt>    query pair
8.jpg,1,Which pair is a different shape and a different color?,generate pair <nxt>    filter different_shape <nxt>    filter different_color <nxt>    query pair
8.jpg,2,Which pair is the same color and a different shape?,generate pair <nxt>    filter same_color <nxt>    filter different_shape <nxt>    query pair
9.jpg,0,Which pair is a different color and a different shape?,generate pair <nxt>    filter different_color <nxt>    filter different_shape <nxt>    query pair
9.jpg,1,Which pair is a different color and the same shape?,generate pair <nxt>    filter different_color <nxt>    filter same_shape <nxt>    query pair
9.jpg,2,Which pair is a different shape and the same color?,generate pair <nxt>    filter different_shape <nxt>    filter same_color <nxt>    query pair
9.jpg,3,Which pair is the same shape and the same color?,generate pair <nxt>    filter same_shape <nxt>    filter same_color <nxt>    query pair
10.jpg,1,Which pair is the same shape and a different color?,generate pair <nxt>    filter same_shape <nxt>    filter different_color <nxt>    query pair
10.jpg,0,Which pair is a different shape and a different color?,generate pair <nxt>    filter different_shape <nxt>    filter different_color <nxt>    query pair
10.jpg,3,Which pair is the same color and a different shape?,generate pair <nxt>    filter same_color <nxt>    filter different_shape <nxt>    query pair
10.jpg,2,Which pair is the same color and the same shape?,generate pair <nxt>    filter same_color <nxt>    filter same_shape <nxt>    query pair
11.jpg,3,Which pair is a different color and the same shape?,generate pair <nxt>    filter different_color <nxt>    filter same_shape <nxt>    query pair
11.jpg,2,Which pair is the same color and the same shape?,generate pair <nxt>    filter same_color <nxt>    filter same_shape <nxt>    query pair
11.jpg,1,Which pair is a different shape and a different color?,generate pair <nxt>    filter different_shape <nxt>    filter different_color <nxt>    query pair
11.jpg,0,Which pair is a different shape and the same color?,generate pair <nxt>    filter different_shape <nxt>    filter same_color <nxt>    query pair
12.jpg,0,Which pair is the same color and the same shape?,generate pair <nxt>    filter same_color <nxt>    filter same_shape <nxt>    query pair
12.jpg,1,Which pair is a different shape and the same color?,generate pair <nxt>    filter different_shape <nxt>    filter same_color <nxt>    query pair
12.jpg,2,Which pair is the same shape and a different color?,generate pair <nxt>    filter same_shape <nxt>    filter different_color <nxt>    query pair
12.jpg,3,Which pair is a different color and a different shape?,generate pair <nxt>    filter different_color <nxt>    filter different_shape <nxt>    query pair
13.jpg,0,Which pair is a different shape and the same color?,generate pair <nxt>    filter different_shape <nxt>    filter same_color <nxt>    query pair
13.jpg,1,Which pair is the same color and the same shape?,generate pair <nxt>    filter same_color <nxt>    filter same_shape <nxt>    query pair
13.jpg,2,Which pair is a different color and a different shape?,generate pair <nxt>    filter different_color <nxt>    filter different_shape <nxt>    query pair
13.jpg,3,Which pair is the same shape and a different color?,generate pair <nxt>    filter same_shape <nxt>    filter different_color <nxt>    query pair
14.jpg,3,Which pair is the same color and a different shape?,generate pair <nxt>    filter same_color <nxt>    filter different_shape <nxt>    query pair
14.jpg,0,Which pair is a different shape and a different color?,generate pair <nxt>    filter different_shape <nxt>    filter different_color <nxt>    query pair
14.jpg,2,Which pair is a different color and the same shape?,generate pair <nxt>    filter different_color <nxt>    filter same_shape <nxt>    query pair
14.jpg,1,Which pair is the same shape and the same color?,generate pair <nxt>    filter same_shape <nxt>    filter same_color <nxt>    query pair
15.jpg,0,Which pair is the same shape and the same color?,generate pair <nxt>    filter same_shape <nxt>    filter same_color <nxt>    query pair
15.jpg,2,Which pair is a different color and a different shape?,generate pair <nxt>    filter different_color <nxt>    filter different_shape <nxt>    query pair
15.jpg,3,Which pair is the same color and a different shape?,generate pair <nxt>    filter same_color <nxt>    filter different_shape <nxt>    query pair
15.jpg,1,Which pair is the same shape and a different color?,generate pair <nxt>    filter same_shape <nxt>    filter different_color <nxt>    query pair
16.jpg,2,Which pair is the same color and a different shape?,generate pair <nxt>    filter same_color <nxt>    filter different_shape <nxt>    query pair
16.jpg,0,Which pair is the same shape and a different color?,generate pair <nxt>    filter same_shape <nxt>    filter different_color <nxt>    query pair
16.jpg,1,Which pair is the same shape and the same color?,generate pair <nxt>    filter same_shape <nxt>    filter same_color <nxt>    query pair
16.jpg,3,Which pair is a different color and a different shape?,generate pair <nxt>    filter different_color <nxt>    filter different_shape <nxt>    query pair
17.jpg,1,Which pair is a different color and the same shape?,generate pair <nxt>    filter different_color <nxt>    filter same_shape <nxt>    query pair
17.jpg,0,Which pair is a different shape and a different color?,generate pair <nxt>    filter different_shape <nxt>    filter different_color <nxt>    query pair
17.jpg,3,Which pair is the same color and a different shape?,generate pair <nxt>    filter same_color <nxt>    filter different_shape <nxt>    query pair
17.jpg,2,Which pair is the same shape and the same color?,generate pair <nxt>    filter same_shape <nxt>    filter same_color <nxt>    query pair
18.jpg,0,Which pair is the same shape and a different color?,generate pair <nxt>    filter same_shape <nxt>    filter different_color <nxt>    query pair
18.jpg,1,Which pair is a different shape and a different color?,generate pair <nxt>    filter different_shape <nxt>    filter different_color <nxt>    query pair
18.jpg,2,Which pair is the same color and the same shape?,generate pair <nxt>    filter same_color <nxt>    filter same_shape <nxt>    query pair
18.jpg,3,Which pair is the same color and a different shape?,generate pair <nxt>    filter same_color <nxt>    filter different_shape <nxt>    query pair
19.jpg,0,Which pair is the same color and the same shape?,generate pair <nxt>    filter same_color <nxt>    filter same_shape <nxt>    query pair
19.jpg,1,Which pair is a different shape and a different color?,generate pair <nxt>    filter different_shape <nxt>    filter different_color <nxt>    query pair
19.jpg,2,Which pair is a different color and the same shape?,generate pair <nxt>    filter different_color <nxt>    filter same_shape <nxt>    query pair
19.jpg,3,Which pair is a different shape and the same color?,generate pair <nxt>    filter different_shape <nxt>    filter same_color <nxt>    query pair
